date,discharge_m3s
1997-01-01 00:00:00+00:00,487.65
1997-01-02 00:00:00+00:00,440.57
1997-01-03 00:00:00+00:00,401.72
1997-01-04 00:00:00+00:00,362.08
1997-01-05 00:00:00+00:00,322.59
1997-01-06 00:00:00+00:00,288.73
1997-01-07 00:00:00+00:00,270.02
1997-01-08 00:00:00+00:00,254.27
1997-01-09 00:00:00+00:00,287.4
1997-01-10 00:00:00+00:00,364.59
1997-01-11 00:00:00+00:00,388.94
1997-01-12 00:00:00+00:00,362.08
1997-01-13 00:00:00+00:00,322.59
1997-01-14 00:00:00+00:00,288.07
1997-01-15 00:00:00+00:00,262.03
1997-01-16 00:00:00+00:00,235.59
1997-01-17 00:00:00+00:00,211.32
1997-01-18 00:00:00+00:00,190.43
1997-01-19 00:00:00+00:00,174.39
1997-01-20 00:00:00+00:00,684.49
1997-01-21 00:00:00+00:00,1085.43
1997-01-22 00:00:00+00:00,932.25
1997-01-23 00:00:00+00:00,761.08
1997-01-24 00:00:00+00:00,635.8
1997-01-25 00:00:00+00:00,562.64
1997-01-26 00:00:00+00:00,548.54
1997-01-27 00:00:00+00:00,608.54
1997-01-28 00:00:00+00:00,686.07
1997-01-29 00:00:00+00:00,735.21
1997-01-30 00:00:00+00:00,750.62
1997-01-31 00:00:00+00:00,782.43
1997-02-01 00:00:00+00:00,798.83
1997-02-02 00:00:00+00:00,1257.93
1997-02-03 00:00:00+00:00,1369.88
1997-02-04 00:00:00+00:00,1190.24
1997-02-05 00:00:00+00:00,1029.39
1997-02-06 00:00:00+00:00,900.57
1997-02-07 00:00:00+00:00,795.16
1997-02-08 00:00:00+00:00,713.5
1997-02-09 00:00:00+00:00,647.63
1997-02-10 00:00:00+00:00,593.29
1997-02-11 00:00:00+00:00,650.63
1997-02-12 00:00:00+00:00,705.32
1997-02-13 00:00:00+00:00,687.65
1997-02-14 00:00:00+00:00,675.08
1997-02-15 00:00:00+00:00,773.46
1997-02-16 00:00:00+00:00,819.35
1997-02-17 00:00:00+00:00,884.12
1997-02-18 00:00:00+00:00,880.05
1997-02-19 00:00:00+00:00,821.24
1997-02-20 00:00:00+00:00,867.96
1997-02-21 00:00:00+00:00,863.97
1997-02-22 00:00:00+00:00,791.5
1997-02-23 00:00:00+00:00,730.14
1997-02-24 00:00:00+00:00,706.95
1997-02-25 00:00:00+00:00,682.91
1997-02-26 00:00:00+00:00,650.63
1997-02-27 00:00:00+00:00,609.94
1997-02-28 00:00:00+00:00,560.05
1997-03-01 00:00:00+00:00,523.81
1997-03-02 00:00:00+00:00,511.86
1997-03-03 00:00:00+00:00,515.42
1997-03-04 00:00:00+00:00,513.04
1997-03-05 00:00:00+00:00,508.33
1997-03-06 00:00:00+00:00,528.66
1997-03-07 00:00:00+00:00,539.75
1997-03-08 00:00:00+00:00,502.5
1997-03-09 00:00:00+00:00,448.78
1997-03-10 00:00:00+00:00,406.38
1997-03-11 00:00:00+00:00,372.25
1997-03-12 00:00:00+00:00,341.77
1997-03-13 00:00:00+00:00,330.13
1997-03-14 00:00:00+00:00,323.34
1997-03-15 00:00:00+00:00,300.3
1997-03-16 00:00:00+00:00,281.49
1997-03-17 00:00:00+00:00,266.3
1997-03-18 00:00:00+00:00,247.89
1997-03-19 00:00:00+00:00,228.61
1997-03-20 00:00:00+00:00,208.41
1997-03-21 00:00:00+00:00,186.07
1997-03-22 00:00:00+00:00,165.34
1997-03-23 00:00:00+00:00,145.55
1997-03-24 00:00:00+00:00,127.82
1997-03-25 00:00:00+00:00,115.41
1997-03-26 00:00:00+00:00,105.41
1997-03-27 00:00:00+00:00,94.94
1997-03-28 00:00:00+00:00,83.72
1997-03-29 00:00:00+00:00,73.82
1997-03-30 00:00:00+00:00,66.14
1997-03-31 00:00:00+00:00,59.53
1997-04-01 00:00:00+00:00,54.85
1997-04-02 00:00:00+00:00,54.59
1997-04-03 00:00:00+00:00,63.86
1997-04-04 00:00:00+00:00,85.7
1997-04-05 00:00:00+00:00,89.57
1997-04-06 00:00:00+00:00,83.33
1997-04-07 00:00:00+00:00,71.61
1997-04-08 00:00:00+00:00,60.66
1997-04-09 00:00:00+00:00,52.95
1997-04-10 00:00:00+00:00,48.09
1997-04-11 00:00:00+00:00,44.81
1997-04-12 00:00:00+00:00,42.65
1997-04-13 00:00:00+00:00,41.07
1997-04-14 00:00:00+00:00,39.93
1997-04-15 00:00:00+00:00,39.09
1997-04-16 00:00:00+00:00,38.17
1997-04-17 00:00:00+00:00,38.63
1997-04-18 00:00:00+00:00,45.67
1997-04-19 00:00:00+00:00,61.81
1997-04-20 00:00:00+00:00,74.16
