packet_id,timestamp,origin,origin_name,risk,payload_bytes,delivered,hops,latency_s,rssi_dbm,snr_db,n_tx,airtime_s,path
1,2023-10-04T00:00:00Z,!a76c0001,ATG-BLU-01 Vila Itoupava,safe,23,True,2,2.392,-111.6,2.5,6,3.355,!a76c0001 -> !a76c0002 -> !a76c00ff
2,2023-10-04T00:00:00Z,!a76c0002,ATG-BLU-02 Itoupava Central,safe,23,True,1,0.559,-114.2,-0.2,6,3.355,!a76c0002 -> !a76c00ff
3,2023-10-04T00:00:00Z,!a76c0004,ATG-BLU-04 Garcia,safe,23,True,1,0.559,-95.8,18.3,6,3.355,!a76c0004 -> !a76c00ff
4,2023-10-04T00:00:00Z,!a76c0005,ATG-BLU-05 Velha,safe,23,True,1,0.559,-100.9,13.1,6,3.355,!a76c0005 -> !a76c00ff
5,2023-10-04T00:00:00Z,!a76c0006,ATG-BLU-06 Prainha (regua fluviometrica),safe,23,True,1,0.559,-39.4,74.6,6,3.355,!a76c0006 -> !a76c00ff
6,2023-10-04T01:00:00Z,!a76c0001,ATG-BLU-01 Vila Itoupava,safe,23,True,2,2.757,-52.3,61.7,6,3.355,!a76c0001 -> !a76c0006 -> !a76c00ff
7,2023-10-04T01:00:00Z,!a76c0002,ATG-BLU-02 Itoupava Central,safe,23,True,1,0.559,-96.5,17.5,6,3.355,!a76c0002 -> !a76c00ff
8,2023-10-04T01:00:00Z,!a76c0004,ATG-BLU-04 Garcia,safe,23,True,1,0.559,-101.5,12.5,6,3.355,!a76c0004 -> !a76c00ff
9,2023-10-04T01:00:00Z,!a76c0005,ATG-BLU-05 Velha,safe,23,True,1,0.559,-111.6,2.5,6,3.355,!a76c0005 -> !a76c00ff
10,2023-10-04T01:00:00Z,!a76c0006,ATG-BLU-06 Prainha (regua fluviometrica),safe,23,True,1,0.559,-50.8,63.2,6,3.355,!a76c0006 -> !a76c00ff
11,2023-10-04T02:00:00Z,!a76c0001,ATG-BLU-01 Vila Itoupava,safe,23,True,1,0.559,-119.5,-5.5,6,3.355,!a76c0001 -> !a76c00ff
12,2023-10-04T02:00:00Z,!a76c0002,ATG-BLU-02 Itoupava Central,safe,23,True,1,0.559,-114.7,-0.6,6,3.355,!a76c0002 -> !a76c00ff
13,2023-10-04T02:00:00Z,!a76c0004,ATG-BLU-04 Garcia,safe,23,True,1,0.559,-103.9,10.1,6,3.355,!a76c0004 -> !a76c00ff
14,2023-10-04T02:00:00Z,!a76c0005,ATG-BLU-05 Velha,safe,23,True,1,0.559,-104.7,9.4,6,3.355,!a76c0005 -> !a76c00ff
15,2023-10-04T02:00:00Z,!a76c0006,ATG-BLU-06 Prainha (regua fluviometrica),safe,23,True,1,0.559,-41.9,72.2,6,3.355,!a76c0006 -> !a76c00ff
16,2023-10-04T03:00:00Z,!a76c0001,ATG-BLU-01 Vila Itoupava,safe,23,True,1,0.559,-130.9,-16.9,6,3.355,!a76c0001 -> !a76c00ff
17,2023-10-04T03:00:00Z,!a76c0002,ATG-BLU-02 Itoupava Central,safe,23,True,1,0.559,-111.0,3.0,6,3.355,!a76c0002 -> !a76c00ff
18,2023-10-04T03:00:00Z,!a76c0004,ATG-BLU-04 Garcia,safe,23,True,1,0.559,-96.3,17.7,6,3.355,!a76c0004 -> !a76c00ff
19,2023-10-04T03:00:00Z,!a76c0005,ATG-BLU-05 Velha,safe,23,True,1,0.559,-104.7,9.3,6,3.355,!a76c0005 -> !a76c00ff
20,2023-10-04T03:00:00Z,!a76c0006,ATG-BLU-06 Prainha (regua fluviometrica),safe,23,True,1,0.559,-48.3,65.8,6,3.355,!a76c0006 -> !a76c00ff
21,2023-10-04T04:00:00Z,!a76c0001,ATG-BLU-01 Vila Itoupava,safe,23,True,2,2.714,-102.3,11.8,6,3.355,!a76c0001 -> !a76c0005 -> !a76c00ff
22,2023-10-04T04:00:00Z,!a76c0002,ATG-BLU-02 Itoupava Central,safe,23,True,1,0.559,-102.4,11.6,6,3.355,!a76c0002 -> !a76c00ff
23,2023-10-04T04:00:00Z,!a76c0004,ATG-BLU-04 Garcia,safe,23,True,1,0.559,-100.2,13.8,6,3.355,!a76c0004 -> !a76c00ff
24,2023-10-04T04:00:00Z,!a76c0005,ATG-BLU-05 Velha,safe,23,True,1,0.559,-113.0,1.0,6,3.355,!a76c0005 -> !a76c00ff
25,2023-10-04T04:00:00Z,!a76c0006,ATG-BLU-06 Prainha (regua fluviometrica),safe,23,True,1,0.559,-49.7,64.3,6,3.355,!a76c0006 -> !a76c00ff
26,2023-10-04T05:00:00Z,!a76c0001,ATG-BLU-01 Vila Itoupava,safe,23,True,1,0.559,-131.3,-17.3,6,3.355,!a76c0001 -> !a76c00ff
27,2023-10-04T05:00:00Z,!a76c0002,ATG-BLU-02 Itoupava Central,safe,23,True,1,0.559,-118.8,-4.8,6,3.355,!a76c0002 -> !a76c00ff
28,2023-10-04T05:00:00Z,!a76c0004,ATG-BLU-04 Garcia,safe,23,True,1,0.559,-99.3,14.7,6,3.355,!a76c0004 -> !a76c00ff
29,2023-10-04T05:00:00Z,!a76c0005,ATG-BLU-05 Velha,safe,23,True,1,0.559,-104.2,9.8,6,3.355,!a76c0005 -> !a76c00ff
30,2023-10-04T05:00:00Z,!a76c0006,ATG-BLU-06 Prainha (regua fluviometrica),safe,23,True,1,0.559,-61.3,52.7,6,3.355,!a76c0006 -> !a76c00ff
